sample-id	host_subject_id	host_age	env_local_scale	env_medium	geo_loc_name	HOST	host_sex
SRR29857094	11	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	female
SRR29857095	10	T9	Cattle	Content of rumen	South Korea	Bos taurus coreanae	female
SRR29857096	10	T9	Cattle	Content of large intestine	South Korea	Bos taurus coreanae	female
SRR29857097	48	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857098	9	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857099	8	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857100	7	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857101	6	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857102	51	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857103	50	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857104	5	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857105	49	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857106	48	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857107	47	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857108	47	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857109	46	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857110	45	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857111	44	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857112	4	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857113	43	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857114	25	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857115	24	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857116	23	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857117	22	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857118	21	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857119	20	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857120	2	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857121	19	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857122	18	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857123	17	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857124	39	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857125	16	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857126	15	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857127	14	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857128	13	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857129	12	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857130	11	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857131	10	T7	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857132	1	T7	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857133	9	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857134	8	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857135	38	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857136	7	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857137	6	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857138	51	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857139	50	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857140	5	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857141	26	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857142	49	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857143	25	T5	Cattle	Feces	South Korea	Bos taurus coreanae	male
